,Restaurant_ID,Name,Cuisine
0,132560,Puesto de Gorditas,Regional
1,132572,Cafe Chaires,Cafeteria
2,132583,McDonalds Centro,American
3,132584,Gorditas Doña Tota,Mexican
4,132594,Tacos De Barbacoa Enfrente Del Tec,Mexican
5,132608,Hamburguesas La Perica,Mexican
6,132609,Pollo Frito Buenos Aires,Fast Food
7,132613,Carnitas Mata,Mexican
8,132626,La Perica Hamburguesa,Italian
9,132630,Palomo Tec,Mexican
10,132663,Tacos Abi,Mexican
11,132665,Tacos Correcaminos,Mexican
12,132667,Little Pizza Emilio Portes Gil,Armenian
13,132668,Tacos El Guero,Mexican
14,132706,Gorditas Dona Tota,Mexican
15,132715,Tacos De La Estacion,Mexican
16,132717,Tortas Hawaii,Fast Food
17,132723,Gordas De Morales,Mexican
18,132732,Taqueria El Amigo ,Mexican
19,132733,Little Caesars,Pizzeria
20,132740,Carreton De Flautas Y Migadas,Mexican
21,132754,Cabana Huasteca,Mexican
22,132755,La Estrella De Dimas,Mexican
23,132766,Mikasa,Japanese
24,132767,Restaurant Familiar El Chino,Vietnamese
25,132768,Mariscos Tia Licha,Family
26,132773,El Cotorreo,Family
27,132773,El Cotorreo,Mexican
28,132825,Puesto De Tacos,Mexican
29,132834,Gorditas Doa Gloria,Mexican
30,132845,Cenaduria El Rincón De Tlaquepaque,Mexican
31,132846,El Lechon Potosino ,International
32,132851,KFC,American
33,132851,KFC,Game
34,132854,Sirlone,International
35,132856,Unicol's Pizza,Italian
36,132858,Hamburguesas Valle Dorado,Burgers
37,132861,Carl's Jr,Burgers
38,132862,La Posada Del Virrey,International
39,132866,Chaires,Bakery
40,132866,Chaires,Cafeteria
41,132869,Dominos Pizza,Pizzeria
42,132870,Tortas Y Hamburguesas El Gordo,Burgers
43,132872,Pizzeria Julios,American
44,132875,Shi Ro Ie,Japanese
45,132885,Hamburguesas Saul,Cafeteria
46,132921,Crudalia,Bar
47,132922,Cafe Punta Del Cielo,Cafeteria
48,132925,El Pueblito,Mexican
49,132937,Rockabilly ,Bar
50,132951,Vips,American
51,132954,La Parroquia,Breakfast
52,132955,Emilianos,Brewery
53,132958,Tacos Los Volcanes,American
54,134976,Log Yin,Mexican
55,134976,Log Yin,Mediterranean
56,134976,Log Yin,Burgers
57,134983,Restaurant And Bar And Clothesline Carlos N Charlies,Bar
58,134983,Restaurant And Bar And Clothesline Carlos N Charlies,Brewery
59,134986,Restaurant Las Mañanitas,International
60,134999,Kiku Cuernavaca,Japanese
61,135018,El Oceano Dorado,Mexican
62,135019,Restaurant Bar Coty Y Pablo,Bar
63,135021,Subway,Fast Food
64,135025,El Rincon De San Francisco,Mexican
65,135026,La Cantina,Bar
66,135026,La Cantina,Brewery
67,135027,Restaurant Orizatlan,Mexican
68,135028,La Virreina,Mexican
69,135030,Preambulo Wifi Zone Cafe,Coffee Shop
70,135030,Preambulo Wifi Zone Cafe,Cafeteria
71,135032,Cafeteria Y Restaurant El Pacifico,Cafeteria
72,135032,Cafeteria Y Restaurant El Pacifico,Contemporary
73,135034,Michiko Restaurant Japones,Japanese
74,135035,El Mundo De La Pasta,Italian
75,135039,Restaurant De Mariscos De Picon,Seafood
76,135041,Luna Cafe,Bar
77,135041,Luna Cafe,Cafeteria
78,135042,Restaurant Oriental Express,Chinese
79,135043,Pizza Clasica,Fast Food
80,135043,Pizza Clasica,Pizzeria
81,135044,Restaurant Wu Zhuo Yi,Chinese
82,135046,Restaurante El Reyecito,Fast Food
83,135048,Restaurante Bar Fu-Hao,Bar
84,135049,Restaurante De Mariscos La Langosta,Seafood
85,135052,La Cantina Restaurante,Bar
86,135052,La Cantina Restaurante,Brewery
87,135053,La Fontana Pizza Restaurante And Cafe,Cafeteria
88,135053,La Fontana Pizza Restaurante And Cafe,Fast Food
89,135053,La Fontana Pizza Restaurante And Cafe,Pizzeria
90,135054,Restaurante Y Pescaderia Tampico,Seafood
91,135055,La Cochinita Pibil Restaurante Yucateco,Mexican
92,135057,El Herradero Restaurante And Bar,Bar
93,135058,Restaurante Tiberius,Pizzeria
94,135059,Restaurant Bar Hacienda Los Martinez,Bar
95,135060,Restaurante Marisco Sam,Seafood
96,135069,Abondance Restaurante Bar,Bar
97,135071,Restaurante La Cantina,Bar
98,135071,Restaurante La Cantina,Brewery
99,135072,Sushi Itto,Japanese
100,135073,Restaurante Bar El Gallinero,Bar
101,135073,Restaurante Bar El Gallinero,Brewery
102,135074,Restaurante La Parroquia Potosina,Contemporary
103,135075,Mariscos El Pescador,Seafood
104,135079,Koye Sushi,Chinese
105,135085,Tortas Locas Hipocampo,Fast Food
106,135086,McDonalds Parque Tangamanga,Burgers
107,135086,McDonalds Parque Tangamanga,Fast Food
108,135088,Cafeteria Cenidet,Cafeteria
109,135104,Vips,Mexican
110,135106,El Rincón De San Francisco,Mexican
111,135109,Paniroles,Italian
